Catalyst;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10
0.05 g/g (5 mass %) Ni/Al2O3;-0.87988895;0.4055585;-0.017228259;-0.83563626;0.32120943;-0.03213006;-0.39653394;0.45246485;0.49482492;-0.2855964
0.075 g/g (7.5 mass %) Ni/Al2O3;-1.1405846;0.5459996;0.6813883;-1.2784837;0.974996;0.32788685;-0.43763033;0.40380305;0.2852389;-0.5777133
0.1 g/g (10 mass %) Ni/Al2O3;-1.1677947;0.31226593;0.4758751;-1.0702025;0.09443707;-0.43190545;-1.0646802;0.47732735;0.5954877;-0.6275746
0.2 K-Ni/MgAl2O4;0.39862904;1.3951191;-0.20175235;0.1482004;0.8277795;-0.21439894;0.45238632;-0.20436475;0.62899995;0.413755
0.2Cu-Ni/SiO2;-0.8933667;0.7503677;-1.4921725;-0.6333496;0.19095421;0.7171618;-0.8713313;0.058365572;-0.32401648;0.22928269
0.4 K-Ni/MgAl2O4;0.7512972;1.418409;0.14067876;0.24768172;0.64149904;0.014976909;0.4621162;0.3025645;0.25467452;0.27608263
0.5 K-Ni/MgAl2O4;0.56042516;1.3813665;0.13479869;0.020525608;0.62700576;0.036769427;0.41929585;-0.053826112;0.2276787;-0.043644432
0.5Cu-Ni/SiO2;-0.8909181;0.31059653;-1.4072108;-0.7774555;-0.054256096;0.9118814;-1.0155749;0.040979143;-0.47164318;0.009097294
0.5PAl-10Ni;0.23797283;-1.5266927;0.95658636;-0.54412913;0.09925615;-0.06742767;0.4718323;-1.0493683;-0.6485755;0.051949695
0.5Pt-12Ni;0.769317;0.13539748;0.82181275;-0.28373283;-0.5202486;-0.1289133;0.5539704;-0.44339928;-0.4285109;0.35565737
0.7 K-Ni/MgAl2O4;0.46354994;1.3507055;0.07402008;-0.06281049;0.68326783;-0.030326217;0.4543171;-0.18390739;0.24132337;-0.06328035
1%B-Ni/SBA-15;1.9397241;-0.62315476;0.68701756;-0.8113181;-0.568541;-0.022543976;0.24319309;-0.02765564;0.08603517;0.17891452
1.0 K-Ni/Al2O3;0.90484583;1.2234713;0.13853915;-0.31510836;-0.06816522;-0.000348709;-0.013720986;0.19932231;0.5597478;-0.14715324
1.0Pt-12Ni;1.0592128;0.12912217;0.5394186;-0.22623274;-1.0286223;0.09799447;0.03494484;-0.23108855;0.000654593;0.43179047
1.5Cu-Ni/SiO2;0.25764596;0.5357402;-0.68182254;-0.85160136;-0.710175;0.5978925;-0.5862887;0.051987786;-0.17003207;-0.20385319
10% Ni/CeO2 eMgO;-0.79701793;0.6766461;-1.6736671;0.59592146;-0.23932265;0.71880174;-0.44376382;-0.15273982;-0.099797554;-0.14941514
10%-Ni/(-Al2O3);1.109618;0.7637652;0.5325135;0.28597456;-0.17852344;-0.16773093;-0.29287648;-0.015221661;0.44925687;-0.26117384
10%Ni-MgO-Al2O3;1.8273147;0.63277763;0.16307911;0.21559353;0.028935842;-0.06676546;0.103160486;0.14149167;0.18539369;-0.055311464
10%Ni/Ce0.25Mn0.75;-2.4280949;1.0695429;0.6044759;-1.3553119;0.85383564;1.0361638;0.09370816;0.19464491;-0.057589088;-1.1667658
10%Ni/Ce0.50Mn0.50 34.;-2.1941776;0.9423813;1.0069032;-1.2930969;0.89372325;0.94725007;0.097973675;0.39146852;-0.062114034;-0.92406654
10%Ni/Ce0.75Mn0.25;-2.5861964;0.9306249;0.6536009;-1.0899824;0.659254;0.79157;-0.026318904;0.29409808;-0.12625325;-1.1135043
10%Ni/Ce0.95Mn0.05;-2.6126082;0.5874022;0.5717598;-1.0086406;0.44360217;1.2450137;0.028647212;0.32716572;-0.14128515;-0.9818477
10%Ni/CeO2;-0.96698284;1.0349874;-1.0671724;0.69026095;-0.68574405;0.41431585;-0.6463608;0.7492175;-0.07953104;-0.07252868
10%Ni/MnOx;-2.281141;-0.5158804;-0.6244973;1.0467137;-0.59336495;0.5875333;0.16970854;-0.26631898;-0.5598035;-0.52640957
10AC-Ni/MgO-Al2O3;1.7832648;0.47569668;0.30501214;-0.01830667;0.3756612;0.018561322;0.09162428;0.45242253;0.20826647;-0.058222022
10Mn10Ni-Y;1.2576567;0.06040885;0.75612074;0.23364228;-0.17223157;0.08894154;-0.096885964;0.08969414;-0.3639167;0.10609974
10Mn10NiNH4-Y;1.3168955;0.8397644;-0.07256596;0.20834668;-0.21436223;0.32254568;0.13485135;0.052452777;-0.5442998;0.06435783
10Mn10NiZSM;-0.13582504;0.37099144;-0.73068315;-0.3744777;-1.385264;0.37966263;-0.43172187;0.057560906;-0.19071543;-0.054572243
10Ni(12T)/MA;-0.5775918;0.88349533;0.20743078;0.34309328;-1.615218;-0.06624729;-0.058492564;0.16556276;0.06727251;-0.7874164
10Ni(18T)/MA;-0.2248037;0.5045898;-0.25539446;0.6023806;-1.2626885;0.12864892;0.19173548;0.20116998;-0.13368803;-1.1572818
10Ni(20T)/MA;0.13102087;0.7852187;-0.31594822;0.584023;-1.4435266;0.039879173;0.25941837;0.47113362;0.021682044;-0.5892586
10Ni-Y;1.5044861;-0.22794092;0.45800394;0.8181839;-0.76987827;0.311027;0.09538226;0.22066142;0.019951649;0.20180812
10Ni-3Ca-MgAl2O4;0.7296941;1.0773716;0.88130385;-0.002296561;-0.0722016;-0.15130936;-0.474108;-0.000483731;-0.02318822;0.19033487
10Ni-3Ce-MgAl2O4;0.7296941;1.0773716;0.88130385;-0.002296561;-0.0722016;-0.15130936;-0.474108;-0.000483731;-0.02318822;0.19033487
10Ni-3Fe-MgAl2O4;1.2958497;1.0699971;0.5794961;-0.1066682;0.07169186;-0.16138545;-0.3338451;-0.044752322;0.15452564;-0.020645102
10Ni-3La-MgAl2O4;1.1942474;1.105739;0.91852456;-0.09337305;-0.22788821;-0.14299749;-0.2285462;-0.10910488;0.17855947;0.25836864
10Ni-3Zr-MgAl2O4;1.1942474;1.105739;0.91852456;-0.09337305;-0.22788821;-0.14299749;-0.2285462;-0.10910488;0.17855947;0.25836864
10Ni-CeAl;1.4238286;-0.2722068;0.36898348;0.74713355;-0.8790061;0.11681673;0.4790468;0.54544896;-0.3102874;0.10157228
10Ni-MgAl2O4;1.4074836;0.96716577;0.2213291;0.27519697;-0.41522837;-0.36397687;0.23259334;0.2588831;-0.10530193;0.35142726
10Ni-NH4-Y;2.1994956;0.05385212;0.6110548;0.030002464;-0.34196228;-0.28107077;0.49934068;0.21387388;-0.2786646;0.24504049
10Ni-SBA-15;2.0330029;-0.1554849;0.6723962;-0.3982104;-0.5765593;-0.05000877;0.2259834;-0.002647037;-0.24870515;0.14026672
10Ni-SBA15;1.5864439;-0.20875055;0.35942343;-0.5490099;-0.6084975;-0.010528367;0.46361008;-0.22357741;-0.4924582;0.24020046
10Ni-ZSM;1.8772461;-0.14772345;-0.00432612;-0.075540215;-0.8307962;0.043900885;0.49879342;0.2685749;-0.24072078;0.070443854
10Ni/Al;0.017855579;-0.07992917;-0.5389382;0.5040016;-1.3643166;0.92767644;0.1982278;0.30212516;-0.18479177;0.27869615
10Ni/Al2O3;-0.06987912;1.564972;-0.581341;0.258777;-0.60526115;-0.34376377;0.10490751;0.25511047;0.005645563;-0.15646364
10Ni/Ce0.85La0.10Mn0.05O2;-2.3076258;0.41983777;1.1483086;-1.3057395;0.95668304;0.75245064;-0.11396831;0.9580654;0.0771968;-0.48325714
10Ni/Ce0.85Mg0.10Mn0.05O2;-2.3076258;0.41983777;1.1483086;-1.3057395;0.95668304;0.75245064;-0.11396831;0.9580654;0.0771968;-0.48325714
10Ni/Ce0.85Zr0.10Mn0.05O2;-2.3076258;0.41983777;1.1483086;-1.3057395;0.95668304;0.75245064;-0.11396831;0.9580654;0.0771968;-0.48325714
10Ni/Ce0.95Mn0.05 O2;-2.0043342;1.0496565;0.21860051;-0.88156706;0.68503386;0.85880584;0.12051559;0.5257059;-0.023141563;-0.538344
10Ni/DFSBA-15;0.9674429;-0.22848962;0.23163424;-0.8692581;-0.7236317;0.024753336;0.20148459;-0.077148624;-0.14839828;-0.15479414
10Ni/MA;0.017855534;-0.07992915;-0.53893834;0.5040015;-1.3643165;0.92767674;0.19822775;0.30212507;-0.18479168;0.27869612
10Ni/MgO;-0.24111648;0.12836818;-0.7036532;0.73586553;-1.0168455;0.7135772;0.5791768;0.02000083;-0.45662433;0.29266998
10Ni/SBA-15;1.1525025;-0.06494511;0.21531068;-0.57312316;-1.0325423;0.03383856;0.18761732;-0.044697918;-0.29868954;0.19116147
10Ni/TS (50:50);0.00944211;0.8547056;-1.0888722;-0.5871349;-0.9238631;0.56036884;0.34610015;-0.07330997;-0.13570642;-0.62288576
10Ni/g-Al2O3;0.22809598;1.2863014;0.105880596;0.1591167;-0.6425546;-0.30191022;-0.13112146;0.09353854;-0.108597636;0.27486247
10Ni18Ce-SBA-15;1.2350719;0.15628022;0.7050568;-0.50665313;-0.43089536;-0.23338407;-0.30124477;0.30692574;-0.22768973;-0.27738503
10Ni2Sn/Al;-1.0552797;0.49923894;-1.0722435;-0.9243858;-1.2823548;0.35064158;-0.44473645;-0.17581289;0.09124098;-0.38382292
10Ni9Ce-SBA-15;0.97661835;-0.5426695;0.3376026;-0.26051852;0.019859862;0.053852383;-0.33126605;0.20060036;-0.7654736;-0.31035408
10ZrO-Ni/AL2O3;1.069336;1.4100059;-0.46508837;-0.22840033;0.03763971;0.10346409;-0.11939577;0.025149928;0.7883818;-0.14669971
11NiO/MgO-PWAC;0.8565574;-0.23946798;-0.19755109;-0.23719816;0.003819324;0.111484535;-0.42222747;0.14568688;0.043419987;-0.56149143
12%Ni/Al2O3;-0.35262126;1.638004;-0.042815488;0.05557476;-0.43311006;-0.50203437;-0.21903932;0.038276076;0.13850337;0.031963088
12%Ni-Al2O3;0.50841576;1.0690787;0.68474543;0.065867424;-0.72886914;-0.6563922;-0.07554805;0.08394638;0.002154908;0.5142129
12.5%Ni-MgO-Al2O3;1.4044355;0.8919948;0.24777222;-0.2732675;0.28777793;0.23912774;-0.20990019;-0.11708502;0.292978;-0.11476448
12Ni;-0.3965511;0.83913165;0.24322413;-0.09869616;-0.99582756;-0.13262062;-0.25042143;-0.4654997;-0.18246114;0.17093511
12Ni/Al2O3-EISA;1.2015467;0.69233483;-0.03454012;-0.56467867;-0.33944285;-0.17702827;-0.07749688;-0.1479705;0.34631252;-0.1718221
12Ni/Al2O3-IMP;1.3862609;0.6548059;0.5103971;-0.20267305;0.040767968;0.032559447;0.19763002;-0.15590246;0.3741612;-0.170883
12Ni/MgAl-S;0.35489306;-0.023462845;-0.7612322;-1.0633953;-0.9191694;-0.2712692;-0.6831407;-0.31294236;0.13755623;-0.37138128
12NiAl-S;1.0677583;0.42787543;-0.42741987;-0.6957575;-1.006004;-0.17361061;0.057396658;-0.18536447;-0.1588635;0.21398462
12NiMgAl-S;1.0677584;0.42787537;-0.42741987;-0.6957573;-1.0060039;-0.1736107;0.057396844;-0.18536457;-0.1588633;0.21398464
12NiMgO-S;1.3621413;0.19898301;-0.73928;-0.783112;-0.6077164;-0.088440664;-0.33983004;-0.18278264;-0.025865199;-0.16560775
12NiMgO/Al2O3;0.21420556;1.6791042;-0.39331856;0.000163662;-0.42356187;-0.11795542;-0.1870011;0.17465745;0.22004698;-0.05103062
13.2%Ni-SiO2;0.58912444;1.093502;-0.6967644;-0.24919817;-0.5490212;-0.09658126;-0.6223949;-0.05419087;0.22120759;0.028421303
15% Ni/CeO2 eMgO;-1.4380993;0.86388963;-0.47461152;0.5416582;-0.31020945;0.30881375;-0.6478192;-0.42578137;-0.358463;-0.5691878
15%Ni-MgO-Al2O3;1.479652;0.76359415;-0.028478788;0.14552099;0.45406404;-0.13957044;-0.13927709;-0.019562826;0.017116088;-0.2901753
15%Ni/Al2O3;-0.80577505;1.6112691;0.4844363;0.076633014;-0.6405715;-0.71115506;0.2145808;0.16244532;-0.31703523;-0.2605107
15%Ni/CeO2-Al2O3;0.2300443;1.6008393;0.13729592;0.16399918;-0.058625095;0.114792295;-0.17346625;0.42405754;-0.17799586;0.040876362
15AC-Ni/MgO-Al2O3;1.2902453;0.8638159;0.10084273;-0.11624168;0.3719127;0.1881451;0.04603255;0.30054134;0.038704466;-0.11503382
15Mn10NiNH4-Y;0.69961727;1.0121044;0.39706272;0.048010524;-0.43192545;0.3071239;-0.11894614;-0.17001586;-0.72336715;-0.123689435
15Mn10NiZSM;-1.023415;0.6451572;-0.040747613;-0.74282664;-1.2022855;0.19426627;-0.76955324;-0.4569842;-0.5034769;-0.30915484
15N/iMCM-22;-0.52527976;0.9350688;0.80978394;0.25168025;-0.6815092;-0.10416137;-0.39969686;0.11467168;-0.37699535;0.34869495
15Ni/DFSBA-15;1.0076565;0.30343103;0.32603112;-0.47361463;-0.7030228;-0.108838454;0.11165879;0.06988035;-0.33935067;-0.37549976
15Ni/ITQ-2;1.4516348;0.22919767;0.8203008;0.46143863;-0.44788656;-0.26871687;-0.038802322;0.14297256;-0.020292459;-0.17455386
15Ni/MgO;-0.14334334;0.6382489;-0.6298057;0.65899676;-0.61377454;0.4473372;0.20817274;-0.18108797;-0.7056589;-0.30440253
1K-Ni/MgAl;1.669479;-0.4318949;1.117721;0.44482365;-0.5490482;-0.06268536;-0.47223473;0.13007097;-0.08018066;-0.2744375
1PAl-10Ni;1.4165868;-0.9887044;0.26492906;-0.36842906;-0.44771183;0.082431786;-0.008699344;-0.5723768;-0.44351426;-0.025438506
1Zr/5Ni/SBA-15;0.316642;-0.037866887;0.66918695;-1.3745747;-0.24870306;0.2631364;-0.084515736;-0.38971293;-0.63190114;0.05524556
2%B-Ni/SBA-15;1.9578744;-0.80665517;0.6663506;-0.8660562;-0.34829572;-0.10879077;0.41486058;0.061117746;0.053718906;0.1113517
2%Ga5%Ni/MCM-41;-0.34018973;0.44425744;1.0661985;0.25848094;-0.54664785;-0.23263466;0.029490244;-0.028917698;-1.0570301;0.1306407
2.5%Ni-MgO-Al2O3;1.5680848;0.52623975;0.118708454;0.029068787;0.6934103;0.13778426;0.30783403;0.23668134;-0.16539957;-0.111122414
2.5La-Ni/ZrO2;-0.80451006;1.1274155;-0.77351356;0.36549595;0.6740699;0.33343863;0.4002706;0.31728277;-0.3171217;0.10422253
20% Ni/CeO2 eMgO;-1.161946;0.7736727;-1.7223608;0.80665183;0.35813674;0.5225338;-0.10064599;0.0897088;-0.22770274;0.060045786
20%-Ni/(-Al2O3);1.1605587;0.779188;0.4526158;0.41880655;0.2184083;-0.09898583;-0.020487351;0.049669724;0.35821053;-0.22400534
20AC-Ni/MgO-Al2O3;1.6741742;0.2852129;0.3053993;0.1728793;0.6613664;-0.060304664;0.31392762;0.53645927;0.13419153;-0.089859806
20Ni/HT;-0.6160012;0.3534489;-0.28803596;0.572706;-1.0456043;0.6307959;0.8492145;0.5745373;-0.4347067;0.26266342
20Ni/HT-4La;0.9200356;0.5641336;0.003262673;0.13399316;-0.6212801;-0.10837241;0.55112493;0.1529663;-0.46731877;-0.042302508
20Ni/HT-8La;0.95078754;0.2928108;-0.45437363;1.1846262;0.04623234;0.29023525;0.7059846;0.2618628;-0.6212647;-0.1186889
25%Ni-1%CeO2-Al2O1;1.2661093;0.7458405;1.05349;0.49463704;0.17658064;-0.15386254;-0.18091263;0.5992666;-0.13892224;0.12292347
25%Ni-3%CeO2-Al2O2;1.0623215;1.1376679;0.6827907;0.24766323;0.09860614;0.04204208;-0.1600306;0.46103397;-0.13704717;0.4577224
25%Ni-5%CeO2-Al2O3;0.47274742;1.4000385;0.4473709;0.19945596;0.3497022;-0.18094334;0.018849403;0.056048606;-0.4057763;-0.029930463
25%Ni-5%La2O3-Al2O3;1.3641751;1.2231975;0.81842476;0.027673004;-0.042288255;-0.13533816;0.16489194;0.24145779;-0.12540904;0.21063259
25%Ni-5%ZrO2-Al2O3;1.1862419;1.2585596;0.44477597;0.0901838;0.15816328;-0.28428203;0.17404939;0.11270772;-0.29866436;0.082292125
25%Ni/Al2O3;-0.5053619;1.6568966;0.12889384;0.18089835;-0.41889486;-0.93241453;0.6049333;0.22704896;-0.39893705;-0.21100686
2Ni-3ln/AL2O3;-0.03777825;0.9648889;0.94478893;-0.8005325;0.2351516;-0.63088375;0.3024733;-0.03056124;0.47575712;-0.20190312
2Ni/Al;-0.62242043;0.35038555;-0.28937802;0.573013;-1.050798;0.633756;0.8504372;0.57633615;-0.43361354;0.26470685
2Ni/H-Al;1.5699476;0.2711858;-0.15706764;0.8976324;-0.23649584;0.050354123;0.44005096;0.712868;-0.39094555;0.08355081
2Ni-1Mo-HSS;1.704138;-0.098150685;-0.32238898;-0.4869193;-0.43910247;-0.16097501;-0.31809738;0.091784276;-0.045297395;-0.005188506
2PAl-10Ni;1.3561693;-1.0803285;0.23650411;-0.41851413;-0.32266867;0.09327618;0.24442044;-0.5078965;-0.45971325;0.05824259
2ZrO-Ni/AL2O3;1.5106725;1.2290275;-0.43799472;-0.034890648;0.35484087;-0.1862875;0.31253594;0.153144;0.62302446;0.11074848
3%-Ni/(-Al2O3);1.1236607;0.8400829;0.44890848;0.41312337;-0.033244755;-0.080481105;-0.10535231;0.042435516;0.39620516;-0.25498968
3%B-Ni/SBA-15;1.9171528;-0.6994003;0.707031;-0.6564793;-0.4116721;-0.04463673;0.36269525;0.028178787;-0.014316556;0.12680976
3%Y-NiO/SBA-15;1.8622041;-0.31225762;0.32993194;-0.25616315;0.15095164;-0.04058306;-0.002130191;0.14350837;-0.47655815;0.019011414
3.1%Ni-SiO2;0.9335881;0.6561039;-0.07295195;-0.5468439;-0.40426335;0.044079464;-0.10356993;0.09847391;0.013147874;-0.08224724
30Ni/ITQ-2;1.2145737;0.1974796;0.5702289;0.6343796;-0.45248875;-0.1929843;0.49540067;0.29677817;0.055740558;0.35272372
30Ni/MCM-22;-0.916214;0.6446189;0.39774328;0.6062995;-0.60684484;-0.40028548;-0.096172966;0.22853474;-0.063411884;0.6297571
3K-Ni/MgAl;1.5868154;-0.05510797;0.9953337;0.55862254;-0.4896742;-0.08129199;0.1694894;0.047185536;-0.12935196;-0.14094552
3NZH;0.19472596;1.0910912;0.15362453;0.057120167;-1.3386118;-0.17728446;0.56833047;-0.10687135;-0.21948382;0.30895883
3NZN;0.55552375;0.1550361;-0.815437;-0.3715548;-0.5939843;0.5246977;0.78362864;-0.44816676;-0.36602545;0.15923126
3NZO;-0.214106;0.4583591;-1.3133864;0.18862572;0.08949309;0.58923745;0.40561566;-0.5759911;-0.23600705;-0.14603472
3Ni-2ln/AL2O3;-0.12060186;0.9656732;0.8682647;-0.5888162;-0.048072502;-0.66783994;0.2833204;0.019201146;0.5040388;-0.3346118
3Ni/DFSBA-15;0.76283264;0.033445127;0.2221573;-0.8089511;-0.4936241;0.021218995;0.22893186;-0.018991686;-0.23485643;-0.26488358
3Sm-10Ni-SBA15;1.0762771;-0.20550917;0.4047145;-1.6350539;0.13804209;-0.059346575;-0.35751843;-0.16883829;-0.48622757;0.059062637
3Zr/5Ni/SBA-15;0.59373033;0.033712886;0.5630534;-1.249956;-0.099651605;0.17725278;0.2345299;-0.09060152;-0.7453868;-0.002241965
4Ni-1ln/AL2O3;-0.93634385;0.6679365;1.1949629;-0.67175114;0.018344706;-0.40713295;0.3231497;-0.16374037;0.5168513;-0.6854048
4PAl-10Ni;1.1972464;-1.1078715;0.18265426;-0.4820449;0.045557123;0.1689877;0.2945794;-0.74662775;-0.57833785;-0.058569457
5% Ni/CeO2 eMgO;-1.5901002;0.8173362;-1.5662165;0.8092774;0.5340537;0.34126392;-0.00575588;-0.30024683;-0.32692006;-0.0720626
5% Ni/MgO;-0.1833023;0.36458212;-1.1085876;0.63216877;-0.3541278;0.41637844;1.1690497;0.019187672;-0.5471621;0.1438456
5% Ni/ZrO2;-0.558619;1.1432785;-1.1898558;0.8331069;-0.2041126;0.16445695;0.7101908;0.32311493;-0.20903091;0.13896134
5% Ni-0.1% Pt/MgO;-1.310268;0.06253546;-0.24922624;0.1344588;-0.3996646;0.5588921;0.5171033;-0.9158842;-0.40698418;-0.2564861
5% Ni-0.3% Pt/MgO;-1.3908858;0.48133808;-0.32268864;0.1289986;-0.50213754;0.31978342;0.69911313;-0.91177356;-0.41597414;-0.297222
5% Ni-3% CeO2/ZrO2;-0.4361517;1.5887723;-0.5400299;0.43827948;-0.06854681;0.6053313;-0.53432935;0.706981;0.07909592;-0.20634049
5% Ni-3% K2O/ZrO2;0.65828776;1.5328985;-0.5678838;0.4490788;-0.19214882;0.04591573;0.14097771;0.41599283;0.13857096;-0.006524388
5% Ni-3% La2O3/ZrO2;0.9065216;1.4880308;-0.3093691;0.22838949;-0.48016274;0.13885696;-0.001239873;0.40988228;0.24766757;-0.1232947
5%-Ni/(-Al2O3);1.0135798;0.7633301;0.3776037;0.3199729;0.000607268;-0.11477289;-0.15549591;-0.11292472;0.30343097;-0.2962017
5%B-Ni/SBA-15;1.896555;-0.5287653;0.80480427;-0.69333905;-0.4295328;-0.016915452;0.27439594;-0.07856662;-0.074734196;0.197481
5%Ni-MgO-Al2O3;1.6410894;0.8347219;-0.07796546;0.30796295;0.15253608;-0.059362747;0.25800094;0.108000554;0.03954221;-0.24059094
5%Ni/La2O3- HT;1.2880439;1.2120006;-0.16520773;0.43117377;-0.32909307;-0.15917476;0.38008678;0.02247521;0.014861934;-0.09752237
5%Ni/La2O3- KIT-6;1.481923;0.82717615;0.31117886;0.27348542;-0.09377299;0.24920557;0.3393555;-0.04052234;-0.0843138;-0.03028489
5%Ni/La2O3-S;-0.22049583;1.2148849;-0.9579565;-0.3295662;-0.96398973;-0.5436955;0.25482783;0.08535451;-0.088729165;-0.31051296
